	charge	net charge	element	dx	energy
0	[0.1, 13.9]	0.0		[-6.9, 6.9]	-282.51282137438443
1	[0.2, 13.8]	0.0		[-6.8, 6.8]	-277.6991968434982
2	[0.3, 13.7]	0.0		[-6.7, 6.7]	-273.0416991257471
3	[0.4, 13.6]	0.0		[-6.6, 6.6]	-268.36651191155306
4	[0.5, 13.5]	0.0		[-6.5, 6.5]	-263.7473147076775
5	[0.6, 13.4]	0.0		[-6.4, 6.4]	-259.18472809656527
6	[0.7, 13.3]	0.0		[-6.3, 6.3]	-254.67941358087427
7	[0.8, 13.2]	0.0		[-6.2, 6.2]	-250.23206930826277
8	[0.9, 13.1]	0.0		[-6.1, 6.1]	-245.84342425420124
9	[1.0, 13.0]	0.0	['H', 'Al']	[-6.0, 6.0]	-241.51423129451462
10	[1.1, 12.9]	0.0		[-5.9, 5.9]	-237.24525933128086
11	[1.2, 12.8]	0.0		[-5.8, 5.8]	-233.03728472200726
12	[1.3, 12.7]	0.0		[-5.7, 5.7]	-228.89108215628318
13	[1.4, 12.6]	0.0		[-5.6, 5.6]	-224.80741534704248
14	[1.5, 12.5]	0.0		[-5.5, 5.5]	-220.78702812012824
15	[1.6, 12.4]	0.0		[-5.4, 5.4]	-216.83063665242125
16	[1.7, 12.3]	0.0		[-5.3, 5.3]	-212.93892384719126
17	[1.8, 12.2]	0.0		[-5.2, 5.2]	-209.11253704501456
18	[1.9, 12.1]	0.0		[-5.1, 5.1]	-205.35209077162668
19	[2.0, 12.0]	0.0	['He', 'Mg']	[-5.0, 5.0]	-201.6581778690528
20	[2.1, 11.9]	0.0		[-4.9, 4.9]	-198.0313979069394
21	[2.2, 11.8]	0.0		[-4.8, 4.8]	-194.47243150840458
22	[2.3, 11.7]	0.0		[-4.7, 4.7]	-190.98225619722433
23	[2.4, 11.6]	0.0		[-4.6, 4.6]	-187.56264431773806
24	[2.5, 11.5]	0.0		[-4.5, 4.5]	-184.21623182306263
25	[2.6, 11.4]	0.0		[-4.4, 4.4]	-180.94543962196622
26	[2.7, 11.3]	0.0		[-4.3, 4.3]	-177.75092924132116
27	[2.8, 11.2]	0.0		[-4.2, 4.2]	-174.63177614551114
28	[2.9, 11.1]	0.0		[-4.1, 4.1]	-171.5873592214371
29	[3.0, 11.0]	0.0	['Li', 'Na']	[-4.0, 4.0]	-168.61733179946793
30	[3.1, 10.9]	0.0		[-3.9, 3.9]	-165.72140421718177
31	[3.2, 10.8]	0.0		[-3.8, 3.8]	-162.8992283858258
32	[3.3, 10.7]	0.0		[-3.7, 3.7]	-160.1503744846851
33	[3.4, 10.6]	0.0		[-3.6, 3.6]	-157.4743787575274
34	[3.5, 10.5]	0.0		[-3.5, 3.5]	-154.8707939118864
35	[3.6, 10.4]	0.0		[-3.4, 3.4]	-152.33922161005776
36	[3.7, 10.3]	0.0		[-3.3, 3.3]	-149.8793411197117
37	[3.8, 10.2]	0.0		[-3.2, 3.2]	-147.49092625007955
38	[3.9, 10.1]	0.0		[-3.1, 3.1]	-145.17384253398345
39	[4.0, 10.0]	0.0	['Be', 'Ne']	[-3.0, 3.0]	-142.92803262965913
40	[4.1, 9.9]	0.0		[-2.9, 2.9]	-140.75349928755202
41	[4.2, 9.8]	0.0		[-2.8, 2.8]	-138.65029194198607
42	[4.3, 9.7]	0.0		[-2.7, 2.7]	-136.61849694767986
