,charges,elements,total energy,electronic energy,delta total energy,delta electronic energy
0,"[7, 5, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'B', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-232.48848781027908,-336.9060061595445,2.5763172172259488,-0.07731532847458311
1,"[7, 6, 5, 6, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'B', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-232.42760928342489,-336.99598663181513,2.5154386903717523,0.012665143796027678
2,"[7, 6, 6, 5, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'C', 'B', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-232.43309232063677,-337.0041156452203,2.520921727583641,0.020794157201180496
3,"[7, 7, 5, 5, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'B', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.671426534229,-340.4002976478137,5.759255941175866,3.416976159794615
4,"[7, 7, 5, 6, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'C', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.7088117108564,-340.3189916909731,5.7966411178032615,3.33567020295402
5,"[7, 7, 5, 6, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'C', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-235.78501830979025,-340.1937777119173,5.8728477167371125,3.210456223898177
6,"[7, 7, 6, 5, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'C', 'B', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.59526407291364,-340.5102689977242,5.683093479860503,3.52694750970511
7,"[7, 5, 7, 6, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'C', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-235.87512554482197,-340.0672453071577,5.962954951768836,3.0839238191385903
8,"[7, 5, 7, 6, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'C', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.8133926104002,-340.1261756876571,5.901222017347067,3.142854199638009
9,"[7, 6, 7, 5, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'N', 'B', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.69405180715205,-340.325617235964,5.781881214098917,3.3422957479448883
10,"[7, 6, 7, 5, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'C', 'N', 'B', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-235.79578764792086,-340.16832524775157,5.883617054867727,3.185003759732467
11,"[5, 7, 5, 6, 7, 6, 1, 1, 1, 1, 1, 1]","['B', 'N', 'B', 'C', 'N', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.80859335643814,-340.1220831688082,5.896422763385004,3.1387616807891163
12,"[7, 6, 6, 7, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'C', 'C', 'N', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-235.77015969710902,-340.20909090882895,5.857989104055889,3.225769420809854
13,"[5, 7, 6, 5, 7, 6, 1, 1, 1, 1, 1, 1]","['B', 'N', 'C', 'B', 'N', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-235.80953783093517,-340.1085762138162,5.897367237882037,3.125254725797106
14,"[7, 7, 7, 5, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'N', 'B', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-238.89249004495827,-343.8270591344409,8.980319451905132,6.8437376464218005
15,"[7, 7, 5, 7, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'N', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-239.1247267185719,-343.4237521788356,9.212556125518773,6.440430690816527
16,"[7, 5, 7, 5, 7, 5, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'B', 'N', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-239.31497660566595,-343.0858812964949,9.402806012612814,6.102559808475803
